user_name	is_plus	star_num	comment	commodity_type
****b	1	5	好小一盒，很便携的一条条，出差旅游真的很方便。虽然看着少，用的时候涂抹在脸上很够，冬天用涂抹式的才方便，没有给自己懒的理由了	便携装-滋养修护泛醇睡眠条状
****l	1	5	非常舒服使用感受用后皮肤有弹性，有光泽适合肤质中性，干性，如何皮肤，男，女都能用补水效果补水效果特别好贴合效果凝胶性，直接涂抹脸上其他特色使用方便携带方便京东物流派送及时。韩国原装进口产品京东自营店产品，质量有保证。面膜只买美迪惠尔的产品，尤其是睡眠面膜。	新品-泛醇修护条状睡眠面膜
u***i	1	5	东西很好用，晚上用了不用洗，很方便，用了几次，觉得挺水嫩的，拍在脸上很舒服	
樱***1	1	5	这个睡眠面膜太好用太方便了，出门携带不占地方，一次一支的用量也很合适，不会浪费，不会污染，用完会再买。这个睡眠面膜太好用太方便了，出门携带不占地方，一次一支的用量也很合适，不会浪费，不会污染，用完会再买。	新品-泛醇修护条状睡眠面膜
于***y	1	5	很好，活动便宜，京东送货速度快，态度也好，很满意，会继续支持，再次购买	
萋***花	0	5	很滋润，皮肤光滑细腻了很多其他特色使用方便	
妮***芙	1	5	搞活动的时候买的面膜，非常划算，平时可是很贵的，敷了面膜皮肤也变好了。	
c***0	1	5	一直是这个粉，太爱了，用了这个新款，效果回头追评	
郝***菈	1	5	快递包装完好无损，产品包装也不错。还没开始用呢，给女朋友屯下来的。还没开始用呢，用了再评价。物流速度很快，闹疫情小区封了但是快递小哥还是送过来了。	泛醇修护条状睡眠面膜
y***y	1	5	免水洗很方便物美价廉会回购	
我***芳	1	5	多次回购很好用，也很香。	
不***城	1	5	面膜泥的形式，还是比较细的，好推开使用感受还没有连续用，有待体验适合肤质本人干皮补水效果单次使用效果补水效果更喜欢面膜纸款的补水面膜	
安***凡	1	5	又来了，又来了，这款也是做活动时候买的。买了太多还没来及都使用呢，看着不错，好像是新款。回头试试看效果怎么样。京东购买售后放心。	新品-泛醇修护条状睡眠面膜
u***v	1	5	一次买了好几款，我一直用这个牌子的面膜好用。	
s***q	0	5	用起来不油，保湿效果好	
****7	1	5	不错感觉挺好挺补水的	
为***K	1	5	正在尝试使用这个牌子的面膜，看后期效果	
j***3	1	5	第一次买这个牌子的，看着排行榜然后凑单买的，还算便宜。送货也非常快，小哥态度超级好，每次都打电话，这次刚好外出，他帮我放好了，等我回来拿正好碰到他，又帮我送到楼下，真的超级感谢。	
格***9	1	5	可以去不错，买来试用一下	新品-泛醇修护条状睡眠面膜
****j	0	5	好评，质量很好，很喜欢。	
****k	1	5	挺好的，挺不错的	
